course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AAPS380,Sharon Vanwright,3,1,5,0,0,0,0,0,0,0,0,0,0,0,0
AASP100,George Kintiba,42,84,53,19,9,4,3,0,1,0,1,0,0,17,5
AASP100,Jason Nichols,47,266,440,324,355,169,68,60,36,10,22,10,16,67,56
AASP100,Jonathan England,43,162,191,147,185,128,57,71,30,5,11,2,8,41,18
AASP100,Kameron Patterson,17,6,4,1,3,0,0,1,0,0,0,0,1,2,1
AASP100,Robert Choflet,15,31,17,7,11,3,3,1,2,0,0,0,2,2,2
AASP100,Shane Walsh,154,584,614,303,144,35,25,9,5,4,4,5,2,57,31
AASP100H,George Kintiba,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0
AASP100H,Jonathan England,1,5,7,2,1,0,0,0,0,0,0,0,0,0,0
AASP100H,Shane Walsh,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1
AASP101,Alana Hackshaw,10,51,62,44,23,11,7,2,4,0,1,2,2,8,2
AASP101,Ashley Newby,27,23,20,4,8,5,3,1,1,1,1,2,10,5,1
AASP101,Cecily Hardaway,51,24,20,8,4,4,1,3,2,0,0,2,2,3,0
AASP101,Chinyere Osuji,3,10,3,7,4,3,1,1,1,0,0,0,2,2,0
AASP101,Dorith Grant-Wisdom,2,2,3,2,3,2,0,0,1,0,0,0,2,1,0
AASP101,Gniesha Dinwiddie,3,30,61,50,68,15,4,8,4,0,1,1,3,20,5
AASP101,Jonathan England,4,26,35,6,13,7,0,2,1,0,1,0,2,3,15
AASP101,Periloux Peay,5,9,2,1,2,1,0,1,0,0,0,0,0,0,0
AASP187,John Drabinski,40,79,23,10,6,1,0,0,0,0,0,0,2,6,0
AASP187,Joseph Richardson,35,78,119,115,79,75,22,19,6,6,3,3,2,44,2
AASP187,Kameron Patterson,66,23,0,3,7,1,4,2,0,0,2,0,4,3,2
AASP187I,Joseph Richardson,12,31,27,17,14,7,6,2,0,0,1,0,0,6,0
AASP189I,Sangeetha Madhavan,15,76,98,55,71,87,28,28,31,7,14,1,5,19,1
AASP200,George Kintiba,64,274,180,97,35,14,11,3,3,0,5,0,0,43,17
AASP200,Ibrahim Kargbo,61,109,10,15,60,6,2,26,1,0,5,0,10,22,3
AASP200,Marshal Washington,5,8,8,6,2,1,2,0,0,0,0,0,0,4,3
AASP202,Angel Dunbar,10,18,12,6,3,10,2,3,0,0,0,1,4,3,0
AASP202,Ashley Newby,6,6,8,4,5,4,1,1,0,0,0,0,0,0,0
AASP202,Dennis Doster,8,27,38,30,39,46,22,26,14,9,7,3,8,25,3
AASP202,Renina Jarmon,17,607,127,27,115,26,10,20,10,2,8,6,15,85,23
AASP202,Robert Choflet,73,372,218,175,292,130,65,125,36,0,30,0,51,88,66
AASP202,Sharon Harley,3,6,1,2,6,4,1,3,2,0,2,0,1,4,0
AASP202H,Robert Choflet,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
AASP210,Angel Dunbar,6,5,3,2,1,4,3,0,1,0,1,1,5,2,1
