course,semester,average_gpa,count
AAPS380,Fall 2023,3.833,9
AASP100,Spring 2012,2.656,212
AASP100,Fall 2012,3.011,220
AASP100,Spring 2013,3.173,203
AASP100,Fall 2013,3.043,214
AASP100,Spring 2014,3.201,216
AASP100,Fall 2014,3.057,214
AASP100,Spring 2015,3.137,218
AASP100,Fall 2015,3.127,212
AASP100,Spring 2016,3.336,177
AASP100,Fall 2016,3.101,213
AASP100,Spring 2017,3.164,216
AASP100,Fall 2017,3.144,216
AASP100,Spring 2018,3.283,218
AASP100,Fall 2018,3.117,216
AASP100,Spring 2019,3.238,248
AASP100,Fall 2019,3.383,214
AASP100,Spring 2020,2.571,250
AASP100,Fall 2020,3.439,247
AASP100,Spring 2021,3.216,205
AASP100,Fall 2021,3.43,212
AASP100,Spring 2022,3.275,207
AASP100,Fall 2022,3.353,211
AASP100,Spring 2023,3.446,205
AASP100,Fall 2023,3.609,213
AASP100,Spring 2024,3.386,214
AASP100H,Spring 2012,3.68,5
AASP100H,Spring 2013,3.8,5
AASP100H,Spring 2016,2.844,41
AASP100H,Fall 2020,3.94,5
AASP100H,Spring 2021,3.2,5
AASP101,Spring 2012,3.167,39
AASP101,Fall 2012,3.123,26
AASP101,Spring 2013,3.112,25
AASP101,Fall 2013,2.647,34
AASP101,Spring 2014,2.495,38
AASP101,Fall 2014,3.05,36
AASP101,Spring 2015,2.72,40
AASP101,Fall 2015,3.276,34
AASP101,Spring 2016,3.178,40
AASP101,Fall 2016,3.23,40
AASP101,Spring 2017,3.344,43
AASP101,Fall 2017,2.973,41
AASP101,Spring 2018,3.388,32
AASP101,Fall 2018,3.527,41
AASP101,Spring 2019,3.084,32
AASP101,Fall 2019,3.22,41
AASP101,Spring 2020,2.24,35
AASP101,Fall 2020,3.597,32
AASP101,Spring 2021,3.665,37
AASP101,Fall 2021,3.409,35
AASP101,Spring 2022,3.157,37
AASP101,Fall 2022,3.08,54
AASP101,Spring 2023,2.71,39
AASP101,Fall 2023,3.035,37
AASP101,Spring 2024,3.505,41
AASP187,Spring 2014,2.798,119
AASP187,Fall 2016,2.849,61
AASP187,Spring 2017,2.756,61
AASP187,Fall 2017,3.11,61
AASP187,Spring 2018,2.632,59
AASP187,Fall 2018,3.149,61
AASP187,Spring 2019,3.087,63
AASP187,Spring 2021,3.46,117
AASP187,Spring 2022,3.552,107
AASP187,Fall 2022,3.271,31
AASP187,Spring 2023,3.677,30
AASP187,Fall 2023,3.303,62
AASP187,Spring 2024,3.912,60
AASP187I,Fall 2015,3.315,123
AASP189I,Fall 2012,3.169,52
AASP189I,Spring 2015,3.27,121
AASP189I,Spring 2016,2.734,120
AASP189I,Fall 2016,2.553,121
AASP189I,Fall 2017,2.879,62
AASP189I,Spring 2018,2.948,60
AASP200,Spring 2012,3.306,35
AASP200,Fall 2012,3.243,47
AASP200,Spring 2013,2.95,40
AASP200,Fall 2013,2.829,49
AASP200,Spring 2014,3.015,41
AASP200,Fall 2014,3.326,35
AASP200,Spring 2015,3.19,41
AASP200,Fall 2015,3.107,42
AASP200,Spring 2016,2.941,39
AASP200,Fall 2016,3.052,40
AASP200,Spring 2017,3.658,40
AASP200,Fall 2017,3.241,41
AASP200,Spring 2018,3.61,40
AASP200,Fall 2018,3.422,58
AASP200,Spring 2019,3.47,40
AASP200,Fall 2019,3.443,58
AASP200,Spring 2020,3.151,41
AASP200,Fall 2020,3.282,60
AASP200,Spring 2021,3.715,40
AASP200,Fall 2021,3.569,65
AASP200,Spring 2022,3.01,40
AASP200,Fall 2022,3.663,60
AASP200,Spring 2023,2.987,39
AASP200,Fall 2023,3.2,44
AASP200,Spring 2024,3.385,40
AASP202,Spring 2012,2.471,119
AASP202,Fall 2012,2.676,140
AASP202,Spring 2013,2.593,102
AASP202,Fall 2013,2.796,141
AASP202,Spring 2014,2.446,117
AASP202,Fall 2014,3.027,138
AASP202,Spring 2015,3.086,142
AASP202,Fall 2015,3.26,141
AASP202,Spring 2016,3.121,133
AASP202,Fall 2016,3.045,139
AASP202,Spring 2017,2.991,122
AASP202,Fall 2017,2.982,124
AASP202,Spring 2018,3.08,133
AASP202,Fall 2018,2.834,126
AASP202,Spring 2019,2.957,106
AASP202,Fall 2019,3.057,136
AASP202,Spring 2020,2.495,119
AASP202,Fall 2020,3.099,139
AASP202,Spring 2021,2.9,136
AASP202,Fall 2021,3.107,136
AASP202,Spring 2022,2.922,138
AASP202,Fall 2022,2.894,131
AASP202,Spring 2023,3.13,138
AASP202,Fall 2023,3.431,135
AASP202,Spring 2024,3.168,135
AASP202H,Fall 2023,4.0,5
AASP210,Fall 2019,2.589,19
AASP210,Fall 2020,2.12,5
AASP210,Fall 2021,2.793,14
AASP210,Fall 2022,1.6,9
AASP210,Fall 2023,3.1,7
AASP211,Spring 2020,2.528,120
AASP211,Spring 2021,3.445,121
AASP211,Spring 2022,3.826,107
AASP211,Spring 2023,3.74,121
AASP211,Spring 2024,3.886,119
AASP230,Fall 2021,2.825,32
AASP230,Fall 2022,3.389,61
AASP297,Spring 2012,2.34,5
AASP297,Fall 2012,2.814,7
AASP297,Fall 2013,3.033,9
AASP297,Fall 2014,2.517,6
AASP297,Spring 2015,2.967,6
AASP297,Spring 2016,2.412,8
AASP297,Fall 2016,2.85,6
AASP297,Spring 2017,1.962,8
AASP297,Fall 2017,2.733,6
AASP297,Fall 2018,2.818,11
AASP297,Spring 2019,2.35,6
AASP298B,Spring 2012,2.65,16
AASP298B,Fall 2013,2.575,24
AASP298B,Fall 2014,3.131,26
AASP298B,Spring 2017,3.676,25
AASP298B,Spring 2019,2.821,29
AASP298B,Spring 2021,2.426,23
AASP298D,Fall 2018,3.0,7
AASP298D,Spring 2019,3.395,19
AASP298G,Spring 2018,3.574,35
AASP298L,Spring 2016,2.3,33
AASP298P,Fall 2018,3.194,17
AASP298P,Fall 2020,3.488,17
AASP298P,Fall 2021,3.162,13
AASP298V,Fall 2012,3.9,6
AASP298V,Fall 2013,2.69,10
AASP298V,Fall 2014,2.764,11
AASP298V,Fall 2016,3.2,5
AASP298V,Fall 2017,2.333,9
AASP298Z,Spring 2012,2.942,33
AASP298Z,Spring 2013,3.323,31
AASP298Z,Spring 2014,3.3,35
AASP298Z,Spring 2015,3.185,20
AASP298Z,Spring 2016,3.471,14
AASP298Z,Spring 2017,3.143,21
AASP298Z,Spring 2018,2.715,13
AASP298Z,Spring 2019,2.707,15
AASP298Z,Spring 2020,1.833,6
AASP298Z,Spring 2021,3.2,5
AASP298Z,Spring 2022,3.8,5
AASP299I,Fall 2018,3.885,20
AASP299T,Fall 2018,4.0,15
AASP299T,Spring 2019,4.0,15
AASP299T,Fall 2019,3.886,14
AASP299T,Spring 2020,3.923,13
AASP299Y,Fall 2018,3.015,26
AASP301,Fall 2012,3.085,20
AASP301,Fall 2013,2.826,19
AASP301,Fall 2014,2.694,16
AASP301,Fall 2016,3.691,11
AASP301,Fall 2017,3.57,10
AASP301,Fall 2018,3.77,10
AASP301,Fall 2019,2.943,7
AASP301,Fall 2020,2.973,11
AASP301,Fall 2021,3.456,9
AASP301,Fall 2022,2.62,5
AASP301,Fall 2023,3.143,7
AASP303,Spring 2012,2.433,6
AASP303,Spring 2013,2.51,10
AASP303,Spring 2014,2.209,11
AASP303,Spring 2015,2.814,7
AASP303,Spring 2016,2.546,13
AASP303,Spring 2017,3.25,20
AASP303,Spring 2018,2.917,12
AASP303,Spring 2019,3.05,16
AASP305,Spring 2012,2.67,10
AASP305,Spring 2013,2.373,11
AASP305,Spring 2014,2.37,10
AASP305,Spring 2015,2.34,5
AASP305,Spring 2017,2.94,5
AASP305,Spring 2018,3.0,6
AASP305,Spring 2019,3.914,7
AASP310,Spring 2012,3.404,28
AASP310,Spring 2013,2.987,30
AASP310,Spring 2014,2.852,33
AASP310,Spring 2015,2.896,28
AASP310,Spring 2016,3.309,23
AASP310,Spring 2017,3.6,25
AASP310,Spring 2018,3.373,11
AASP310,Fall 2018,3.3,14
AASP310,Spring 2019,2.4,13
AASP310,Fall 2019,3.529,17
AASP310,Spring 2020,3.155,11
AASP310,Fall 2020,2.667,6
AASP310,Fall 2021,3.764,11
AASP313,Fall 2012,2.495,38
AASP313,Fall 2013,2.338,37
AASP313,Spring 2015,2.457,35
AASP313,Fall 2015,2.722,36
AASP313,Fall 2016,2.547,36
AASP313,Fall 2017,2.779,34
AASP313,Fall 2018,3.043,35
AASP313,Spring 2020,2.406,33
AASP313,Fall 2020,3.361,38
AASP313,Fall 2021,2.995,42
AASP313,Fall 2022,2.625,44
AASP313,Fall 2023,2.124,17
AASP314,Spring 2012,3.31,29
AASP314,Fall 2013,3.774,35
AASP314,Fall 2014,3.7,37
AASP314,Fall 2015,3.386,42
AASP314,Fall 2016,3.863,46
AASP314,Fall 2017,3.313,38
AASP314,Fall 2018,3.388,25
AASP317,Spring 2022,2.4,24
AASP317,Fall 2022,2.532,28
AASP320,Fall 2022,3.057,7
AASP320,Spring 2023,3.158,12
AASP320,Fall 2023,3.458,24
AASP320,Spring 2024,3.3,24
AASP340,Spring 2023,3.576,25
AASP350,Fall 2023,3.587,23
AASP360,Spring 2020,2.033,21
AASP370,Fall 2022,3.494,32
AASP377,Fall 2021,3.912,8
AASP386,Spring 2012,2.4,5
AASP386,Spring 2016,1.54,5
AASP386,Spring 2017,3.9,7
AASP386,Spring 2019,3.638,8
AASP395,Fall 2013,2.63,10
AASP395,Fall 2014,0.571,7
AASP395,Fall 2015,2.733,6
AASP395,Fall 2016,2.422,9
AASP395,Fall 2017,3.089,9
AASP395,Fall 2018,3.283,6
AASP395,Spring 2019,1.586,7
AASP395,Fall 2019,2.54,5
AASP395,Spring 2020,2.34,5
AASP396,Spring 2012,2.157,7
AASP396,Fall 2014,1.771,7
AASP396,Spring 2017,3.5,6
AASP396,Fall 2018,2.0,5
AASP396,Spring 2019,3.08,10
AASP396,Fall 2019,2.212,8
AASP398B,Fall 2012,2.967,33
AASP398B,Fall 2013,3.016,37
AASP398B,Fall 2014,3.54,35
AASP398B,Fall 2022,1.784,25
AASP398B,Spring 2024,2.567,9
AASP398D,Spring 2012,2.819,21
AASP398D,Spring 2018,2.676,21
AASP398D,Spring 2019,3.025,20
AASP398G,Spring 2012,2.84,10
AASP398G,Fall 2012,3.014,14
AASP398G,Spring 2014,1.55,8
AASP398G,Fall 2015,2.825,16
AASP398G,Spring 2017,2.496,23
AASP398G,Spring 2018,2.689,19
AASP398G,Spring 2019,2.465,20
AASP398G,Spring 2020,1.522,18
AASP398G,Fall 2020,2.42,15
AASP398G,Fall 2021,1.957,14
AASP398G,Fall 2022,2.664,14
AASP398G,Spring 2023,2.223,13
AASP398G,Fall 2023,2.975,16
AASP398P,Fall 2018,3.533,12
AASP398P,Fall 2019,3.65,18
AASP398P,Spring 2022,2.857,7
AASP398Q,Spring 2012,3.408,24
AASP398Q,Spring 2013,3.25,32
AASP398Q,Spring 2014,2.567,27
AASP398Q,Fall 2014,2.312,16
AASP398Q,Spring 2015,2.509,35
AASP398Q,Fall 2015,2.869,32
AASP398Q,Spring 2016,2.724,25
AASP398Q,Fall 2016,2.688,34
AASP398Q,Spring 2017,2.87,27
AASP398Q,Fall 2017,3.486,14
AASP398Q,Spring 2018,3.093,27
AASP398Q,Fall 2018,2.617,36
AASP398Q,Spring 2019,3.384,31
AASP398Q,Fall 2019,3.168,22
AASP398Q,Spring 2020,2.503,34
AASP398Q,Fall 2020,2.637,27
AASP398Q,Fall 2021,2.642,12
AASP398Q,Fall 2022,3.5,11
AASP398Q,Fall 2023,3.054,13
AASP398U,Fall 2020,2.782,17
AASP398Z,Spring 2018,3.857,7
AASP398Z,Spring 2019,3.082,11
AASP398Z,Spring 2020,3.487,23
AASP398Z,Spring 2021,3.74,15
AASP400,Fall 2012,2.038,8
AASP400,Fall 2013,2.712,16
AASP400,Fall 2014,2.015,13
AASP400,Fall 2015,2.156,9
AASP400,Fall 2016,2.96,15
AASP400,Fall 2017,2.562,13
AASP400,Fall 2018,2.45,8
AASP400,Fall 2019,2.953,15
AASP400,Spring 2022,2.655,11
AASP400,Spring 2023,1.7,12
AASP400,Spring 2024,2.693,14
AASP401,Fall 2019,3.162,8
AASP401,Fall 2020,2.936,11
AASP402,Spring 2012,3.459,22
AASP402,Spring 2013,3.55,20
AASP402,Spring 2014,2.961,23
AASP402,Spring 2015,3.106,16
AASP402,Spring 2016,2.833,12
AASP402,Spring 2017,3.08,20
AASP402,Spring 2018,3.17,10
AASP402,Spring 2019,2.3,14
AASP402,Fall 2019,3.6,5
AASP402,Spring 2024,3.205,20
AASP411,Fall 2012,2.737,27
AASP411,Spring 2015,2.956,16
AASP411,Spring 2017,3.255,11
AASP411,Fall 2018,4.0,20
AASP411,Spring 2021,2.043,7
AASP412,Spring 2021,2.975,12
AASP413,Fall 2021,2.338,13
AASP417,Fall 2023,3.436,14
AASP441,Spring 2012,4.0,36
AASP441,Spring 2013,3.857,37
AASP441,Spring 2014,3.595,40
AASP441,Spring 2015,3.94,40
AASP441,Spring 2016,3.847,32
AASP441,Spring 2017,3.89,39
AASP441,Spring 2018,3.887,24
AASP441,Spring 2019,4.0,34
AASP441,Spring 2024,2.953,19
AASP443,Spring 2012,3.269,35
AASP443,Spring 2013,3.394,35
AASP443,Spring 2014,3.379,34
AASP443,Spring 2015,3.141,37
AASP443,Spring 2016,3.119,32
AASP443,Spring 2017,3.144,32
AASP443,Spring 2018,2.225,28
AASP443,Spring 2019,2.926,19
AASP468A,Fall 2013,2.829,14
AASP468A,Fall 2014,2.373,15
AASP483,Fall 2012,3.021,19
AASP498C,Spring 2013,2.733,21
AASP498E,Spring 2020,2.933,9
AASP498E,Spring 2021,2.871,7
AASP498E,Spring 2022,3.047,17
AASP498J,Fall 2018,2.607,14
AASP498J,Fall 2019,2.877,13
AASP498J,Spring 2020,2.888,8
AASP498J,Fall 2020,2.6,14
AASP498J,Spring 2021,2.827,11
AASP498J,Fall 2021,3.017,6
AASP498K,Fall 2012,3.267,12
AASP498K,Spring 2013,3.097,30
AASP498K,Spring 2014,3.02,35
AASP498K,Spring 2015,2.522,37
AASP498K,Spring 2016,3.447,34
AASP498K,Spring 2017,2.9,22
AASP498K,Spring 2018,3.25,26
AASP498K,Spring 2019,2.765,34
AASP498N,Spring 2023,2.696,24
AASP498O,Fall 2014,3.543,7
AASP498O,Fall 2015,3.257,35
AASP498O,Fall 2016,3.14,35
AASP498O,Fall 2017,2.712,8
AASP498O,Fall 2018,2.429,7
AASP498O,Fall 2019,3.337,27
AASP498O,Fall 2020,3.079,19
AASP498O,Fall 2021,3.347,17
AASP498O,Fall 2022,3.367,18
AASP498O,Fall 2023,3.758,12
AASP498P,Spring 2016,3.431,39
AASP498P,Spring 2018,3.015,13
AASP498P,Spring 2020,2.615,26
AASP498Q,Spring 2014,2.588,24
AASP498Q,Spring 2015,2.764,33
AASP498W,Spring 2012,2.873,37
AASP498W,Spring 2013,2.92,46
AASP498W,Spring 2014,2.991,46
AASP498W,Spring 2015,2.979,47
AASP498W,Spring 2016,3.089,46
AASP498W,Spring 2017,2.593,44
AASP498W,Spring 2018,3.031,29
AASP498W,Spring 2019,3.064,28
AASP498Y,Spring 2012,3.424,17
AASP499A,Fall 2017,2.381,16
AASP499A,Fall 2018,2.279,19
AASP499C,Fall 2018,2.36,20
AASP499C,Fall 2019,2.463,30
AASP499C,Spring 2023,2.492,12
AASP499G,Fall 2012,2.826,19
AASP499M,Fall 2013,2.338,13
AASP499M,Fall 2014,3.074,23
AASP499N,Spring 2014,2.625,24
AASP499N,Fall 2014,2.958,24
AASP499N,Spring 2015,2.767,33
AASP499N,Fall 2015,2.606,31
AASP499N,Spring 2016,2.744,36
AASP499P,Fall 2012,3.073,33
AASP499P,Fall 2013,2.982,33
AASP499P,Fall 2014,2.914,37
AASP499P,Fall 2015,2.603,31
AASP499P,Fall 2016,2.819,36
AASP499P,Fall 2017,3.607,14
AASP499P,Fall 2018,3.182,34
AASP499P,Fall 2019,3.161,31
AASP499P,Fall 2020,3.448,29
AASP499P,Fall 2021,3.668,28
AASP499Q,Spring 2015,3.089,36
AASP499Q,Spring 2016,2.897,35
AASP499S,Spring 2020,2.262,16
AASP499T,Spring 2012,1.857,23
AASP499T,Fall 2012,2.644,25
AASP499T,Spring 2013,2.389,27
AASP499T,Fall 2013,2.723,26
AASP499T,Spring 2016,2.609,23
AASP499T,Spring 2020,2.33,10
AASP499T,Spring 2021,3.673,11
AAST200,Spring 2012,2.638,40
AAST200,Fall 2012,3.215,40
AAST200,Spring 2013,2.449,39
AAST200,Fall 2013,2.947,36
AAST200,Spring 2014,2.828,39
AAST200,Fall 2014,2.858,40
AAST200,Spring 2015,3.078,40
AAST200,Fall 2015,2.748,73
AAST200,Spring 2016,3.476,51
AAST200,Fall 2016,3.067,43
AAST200,Spring 2017,3.098,40
AAST200,Fall 2017,3.228,40
AAST200,Spring 2018,3.288,41
AAST200,Fall 2018,3.379,67
AAST200,Spring 2019,3.157,40
AAST200,Fall 2019,3.365,40
AAST200,Spring 2020,2.622,40
AAST200,Fall 2020,3.561,41
AAST200,Spring 2021,2.81,41
AAST200,Fall 2021,3.866,41
AAST200,Spring 2022,3.566,79
AAST200,Fall 2022,3.641,81
AAST200,Spring 2023,3.717,41
AAST200,Fall 2023,3.762,80
AAST200,Spring 2024,3.605,79
AAST201,Fall 2012,3.063,81
AAST201,Spring 2013,2.386,51
AAST201,Fall 2013,3.098,82
AAST201,Spring 2014,2.679,38
AAST201,Fall 2014,2.986,71
AAST201,Spring 2015,3.486,36
AAST201,Fall 2017,3.44,30
AAST201,Spring 2018,2.862,29
AAST201,Spring 2019,3.024,62
AAST201,Fall 2019,2.933,61
AAST201,Spring 2020,2.747,60
AAST201,Spring 2021,3.012,59
AAST201,Fall 2021,3.01,40
AAST201,Fall 2022,3.186,42
AAST201,Spring 2023,3.559,39
AAST222,Spring 2015,3.435,40
AAST222,Fall 2015,3.362,39
AAST222,Spring 2017,2.339,41
AAST222,Fall 2017,2.832,37
AAST222,Fall 2019,2.856,41
AAST222,Fall 2021,3.502,40
AAST222,Fall 2023,2.583,40
AAST233,Spring 2012,2.755,29
AAST233,Fall 2012,2.476,29
AAST233,Spring 2013,2.76,30
AAST233,Fall 2013,2.84,30
AAST233,Fall 2014,2.674,27
AAST233,Spring 2015,2.564,36
AAST233,Fall 2015,2.153,36
AAST233,Fall 2016,2.659,34
AAST233,Spring 2017,3.073,30
AAST233,Fall 2018,3.161,33
AAST233,Spring 2019,3.38,30
AAST233,Fall 2019,2.786,29
AAST233,Spring 2020,2.74,30
AAST233,Fall 2020,3.39,30
AAST233,Fall 2021,3.617,30
AAST233,Fall 2022,3.326,31
AAST233,Spring 2024,3.782,40
AAST298A,Fall 2017,2.757,7
AAST298A,Fall 2019,3.617,6
AAST298G,Spring 2023,3.64,25
AAST298G,Spring 2024,3.764,25
AAST298J,Spring 2018,3.653,17
AAST298O,Spring 2021,2.731,16
AAST298O,Fall 2021,2.3,10
AAST298O,Fall 2023,3.67,20
AAST351,Spring 2021,3.807,30
AAST351,Fall 2021,3.724,25
AAST351,Spring 2022,3.689,47
AAST351,Fall 2022,3.332,31
AAST351,Spring 2023,3.897,29
AAST351,Fall 2023,3.87,30
AAST351,Spring 2024,3.881,31
AAST355,Fall 2021,3.572,25
AAST355,Fall 2022,3.806,31
AAST355,Fall 2023,3.673,30
AAST363,Fall 2021,3.046,26
AAST363,Fall 2022,3.041,29
AAST363,Fall 2023,2.997,30
AAST378,Spring 2017,4.0,7
AAST378,Spring 2018,4.0,8
AAST378,Spring 2022,4.0,5
AAST388,Spring 2012,3.443,7
AAST388,Spring 2014,3.991,32
AAST388,Fall 2014,4.0,5
AAST388,Spring 2017,4.0,12
AAST388,Fall 2017,3.286,7
AAST388,Spring 2023,4.0,6
AAST388,Spring 2024,4.0,5
AAST394,Fall 2020,3.784,31
AAST394,Spring 2021,3.71,31
AAST394,Fall 2021,3.877,30
AAST394,Spring 2022,3.8,31
AAST394,Fall 2022,3.681,31
AAST394,Spring 2023,3.722,32
AAST394,Fall 2023,3.74,30
AAST394,Spring 2024,3.639,31
AAST398A,Spring 2013,3.149,35
AAST398A,Fall 2015,3.123,22
AAST398B,Spring 2012,2.92,20
AAST398B,Fall 2012,2.535,26
AAST398B,Fall 2017,3.127,26
AAST398D,Fall 2012,2.534,32
AAST398D,Fall 2013,2.926,34
AAST398D,Fall 2014,2.997,34
AAST398D,Fall 2015,2.855,29
AAST398D,Fall 2016,2.606,31
AAST398D,Fall 2017,2.73,20
AAST398D,Fall 2018,3.096,27
AAST398D,Fall 2019,3.238,32
AAST398D,Fall 2020,2.988,26
AAST398E,Fall 2013,3.244,39
AAST398E,Fall 2014,2.621,38
AAST398E,Fall 2015,3.285,34
AAST398E,Spring 2016,2.882,39
AAST398E,Fall 2016,3.123,30
AAST398E,Spring 2017,3.0,31
AAST398E,Fall 2017,3.679,29
AAST398E,Fall 2018,3.381,26
AAST398E,Spring 2019,3.462,21
AAST398E,Fall 2019,3.684,31
AAST398F,Spring 2013,3.842,12
AAST398F,Spring 2014,3.462,8
AAST398G,Fall 2013,3.096,24
AAST398G,Spring 2020,2.444,18
AAST398I,Spring 2017,3.225,24
AAST398L,Spring 2012,3.59,29
AAST398L,Fall 2012,3.586,35
AAST398L,Spring 2013,2.908,36
AAST398L,Spring 2014,2.99,41
AAST398L,Fall 2014,3.478,18
AAST398L,Spring 2015,2.966,41
AAST398L,Spring 2016,2.7,41
AAST398L,Fall 2016,3.017,42
AAST398L,Spring 2017,3.458,26
AAST398L,Fall 2017,3.772,29
AAST398L,Fall 2020,3.512,32
AAST398M,Spring 2018,3.266,29
AAST398M,Spring 2019,3.311,28
AAST398M,Fall 2019,3.189,56
AAST398N,Spring 2015,3.73,23
AAST398N,Fall 2020,3.396,28
AAST398O,Spring 2015,3.007,27
AAST398Q,Spring 2014,2.784,31
AAST398T,Spring 2016,2.914,29
AAST398V,Spring 2016,2.68,20
AAST398W,Spring 2016,2.993,27
AAST398Y,Spring 2016,2.688,26
AAST421,Spring 2022,3.935,20
AAST421,Spring 2023,3.635,17
AAST421,Spring 2024,3.7,19
AAST440,Spring 2024,3.952,21
AAST443,Spring 2016,3.112,41
AAST443,Fall 2016,2.703,33
AAST443,Fall 2017,3.042,26
AAST443,Spring 2019,2.882,33
AAST443,Spring 2020,3.072,40
AAST443,Spring 2021,3.812,41
AAST443,Fall 2021,3.507,41
AAST443,Spring 2022,3.21,41
AAST443,Spring 2023,3.885,20
AAST498B,Spring 2014,2.63,37
AAST498B,Spring 2018,3.325,20
AAST498B,Spring 2020,0.889,18
AAST498E,Spring 2012,2.645,31
AAST498E,Spring 2014,3.37,27
AAST498E,Fall 2015,3.103,29
AAST498F,Fall 2014,3.427,11
AAST498F,Spring 2019,3.57,10
AAST498G,Spring 2012,1.91,10
AAST498G,Fall 2012,2.957,7
AAST498G,Fall 2022,3.365,20
AAST498G,Spring 2023,3.774,19
AAST498G,Fall 2023,3.667,18
AAST498G,Spring 2024,3.665,20
AAST498J,Spring 2013,2.931,26
AAST498J,Fall 2016,4.0,7
AAST498J,Fall 2017,3.789,19
AAST498J,Fall 2018,3.348,23
AAST498K,Spring 2020,2.337,19
AAST498L,Spring 2013,3.579,29
AAST498M,Spring 2012,3.849,35
AAST498M,Spring 2013,3.924,21
AAST498M,Spring 2014,3.875,20
AAST498M,Fall 2014,3.522,18
AAST498M,Spring 2016,3.767,21
AAST498M,Spring 2017,3.5,16
AAST498M,Fall 2017,4.0,19
AAST498M,Spring 2019,3.885,20
AAST498M,Spring 2020,3.619,21
AAST498M,Spring 2021,3.744,18
AAST498N,Spring 2014,3.094,17
AAST498N,Fall 2019,2.386,7
AAST498N,Fall 2021,3.74,5
AAST498O,Spring 2013,2.923,13
AAST498Q,Fall 2013,2.767,15
AAST498Q,Spring 2019,3.312,17
AAST498Q,Spring 2021,2.479,14
AAST498Q,Spring 2023,2.706,18
AAST498T,Fall 2013,3.179,34
AAST498T,Fall 2014,2.892,40
AAST498V,Spring 2015,2.988,16
AAST498W,Fall 2022,3.289,18
AAST498W,Spring 2023,3.723,13
AAST498X,Spring 2012,2.89,20
AAST498X,Fall 2018,3.288,17
AAST498X,Spring 2021,3.232,19
AAST498Y,Fall 2014,2.786,36
AAST498Y,Fall 2015,2.648,31
AAST498Y,Fall 2016,2.418,34
AAST498Z,Spring 2012,3.625,8
AAST498Z,Fall 2012,2.986,14
AAST498Z,Spring 2015,2.759,34
ABRM330,Fall 2023,3.143,35
AGNR200,Fall 2015,3.944,18
AGNR200,Fall 2016,4.0,5
AGNR200,Fall 2017,4.0,12
AGNR200,Fall 2018,3.714,14
