name,code,id,long,lat
Pyon-Chen Hall (Residence Hall),PCH,434,-76.94501301,38.99200637
Brendan Iribe Center,IRB,432,-76.93644388,38.98916071
E.A. Fernandez IDEA Factory,EAF,228,-76.93803686,38.99034794
Johnson-Whittle Hall (Residence Hall),JWH,435,-76.94556616,38.99104375
Yahentamitsi,,436,-76.94461464,38.99107415
School of Public Policy,,433,-76.938516,38.985207
251 North,,251,-76.94960903,38.99274005
94th Aero Squadron,,F08,-76.92101227,38.9781702
A Harvey Wiley Federal Building FDA,FDA,F01,-76.92619658,38.9770124
A. James Clark Hall,AJC,429,-76.937262,38.9919651
A.V. Williams Building,AVW,115,-76.93634186,38.99079905
Adele H. Stamp Student Union Buildings,SSU,163,-76.94472182,38.98816455
Agriculture Shed,,102,-76.94073372,38.99198175
Allegany Hall (Residence Hall),AGY,24,-76.9414146,38.98157935
Alpha Chi Omega Sorority,,172,-76.93602932,38.9814223
Alpha Delta Pi Sorority,,170,-76.93520796,38.981239
Alpha Epsilon Phi Sorority,,136,-76.93562535,38.98324535
Alpha Epsilon Pi,,129,-76.9351584,38.9846571
Alpha Phi Sorority,,176,-76.9352442,38.9808974
Alpha Sigma Phi Fraternity,,134,-76.93465719,38.98329385
American Center for Physics,,F03,-76.92998507,38.97152715
Animal Science Service Building,,103,-76.94108287,38.99200365
Animal Science/Agricultural Engineering Building,ANS,142,-76.93945928,38.99164625
Annapolis Hall,,8,-76.94006754,38.9822303
Anne Arundel Hall,ANA,60,-76.94673185,38.98595025
Apiary,,156,-76.948733,38.99193245
Aquatics Center,,399,-76.94649784,38.9933884
Architecture Building,ARC,145,-76.94754622,38.98423555
Art-Sociology Building,ASY,146,-76.94789478,38.98528145
Baltimore Hall (Residence Hall),BAL,16,-76.94219254,38.9822469
Bel Air Hall (Residence Hall),BEL,99,-76.9426116,38.99281705
Benjamin Building,EDU,143,-76.9474215,38.9867095
Biology-Psychology Building,BPS,144,-76.94259293,38.98872265
Biomolecular Sciences Building,,296,-76.93769444,38.99285415
Biosciences Research Building,BRB,413,-76.94280941,38.98897595
Blacksmith Shop,,119,-76.94089305,38.9922976
Building Services Operations Building,,215,-76.93460373,38.98626085
Byrd Stadium,BRD,364,-76.94751819,38.99033895
Byrd Stadium Maintenance Building,,369,-76.94587113,38.99025255
Calvert Hall (Residence Hall),CAL,15,-76.94231349,38.98292125
Cambridge Community Center,CCC,97,-76.9429981,38.99217805
Cambridge Hall (Residence Hall),CAM,96,-76.94301742,38.99172105
Caroline Hall (Residence Hall),CAR,70,-76.9457925,38.9834966
Caroll Hall (Residence Hall),CRL,65,-76.94562533,38.9839834
Catholic Student Center,,C104,-76.94508981,38.98056895
Cattle Barn,,110,-76.94037408,38.9923982
Cecil Hall,CEC,17,-76.94165737,38.9829463
Center for the Advanced Study of Language,,F02,-76.92563528,38.9741989
Center for Young Children,,381,-76.94848305,38.99352845
Central Animal Resources Facility,,87,-76.93834099,38.9917051
Centreville Hall (Residence Hall),CEN,98,-76.9421249,38.992271
Chabad Jewish Student Center,,C102,-76.93324654,38.9803053
Challenge Course,,D108,-76.94526234,38.99415265
Chapel Fields,,D103,-76.93894711,38.9837497
Charles Hall (Residence Hall),CHL,25,-76.94051939,38.9816226
Chemical and Nuclear Engineering Building,CHE,90,-76.93953747,38.99060895
Chemistry Building,CHM,91,-76.94017172,38.98959475
Chesapeake Building,,338,-76.94215145,38.99828345
Chestertown Hall (Residence Hall),CHS,121,-76.9434348,38.99280355
Chincoteague Hall,,59,-76.94451923,38.9852322
Clarice Smith Performing Arts Center,PAC,386,-76.95044341,38.9906807
Climbing Wall,,D107,-76.94589842,38.99419435
Cole Student Activities Building,COL,162,-76.94676626,38.98797155
College Park Fire Station,,802,-76.93369435,38.9903857
College Park LDS Institute of Religion,,C106,-76.94741869,38.981888
College Park Metro Station,,P256,-76.92800717,38.97825115
Comcast Center,,360,-76.94133661,38.9956305
Computer and Space Sciences Building,CSS,224,-76.94256695,38.9909812
Computer Science Instructional Center,CSI,406,-76.9361946,38.98999465
Cumberland Hall (Residence Hall),CBD,122,-76.94392441,38.9922614
Delta Chi Fraternity,,131,-76.93417487,38.98432725
Delta Gamma Sorority,,175,-76.93543236,38.9805908
Delta Phi Epsilon Sorority,,173,-76.93635171,38.9807542
Denton Hall (Residence Hall),DEN,252,-76.94997861,38.99223865
Dorchester Hall (Residence Hall),DOR,64,-76.9461812,38.9867742
DOTS Impound,,P248,-76.93162597,38.98291445
Easton Hall (Residence Hall),EAS,253,-76.95025641,38.9930193
Edward St. John Learning and Teaching Center,ESJ,226,-76.941914,38.986699
Elkton Hall (Residence Hall),ELK,254,-76.94895766,38.9925108
Ellicott Hall (Residence Hall),ELL,256,-76.94665864,38.9918228
Energy Plant,,1,-76.93568345,38.98585305
Energy Research Facility,,223,-76.93686211,38.99192655
Engineering Annex,EAB,93,-76.93708725,38.99073865
Engineering Fields,,D104,-76.93752986,38.98753725
Engineering Laboratory Building,EGL,89,-76.93794671,38.98926235
Environmental Services Facility,,344,-76.94373342,38.9965269
Episcopal Student Center,,C107,-76.93588647,38.9820118
Eppley Campus Recreation Center,CRC,68,-76.94527031,38.99358165
Field Hockey and Lacrosse Complex,,414,-76.9368615,38.99472745
Francis Scott Key Hall,KEY,48,-76.94308928,38.98506175
Fraternity Fields,,D105,-76.93587988,38.9839311
Frederick Hall (Residence Hall),FRD,29,-76.94074678,38.98204525
Garrett Hall (Residence Hall),GRT,31,-76.9426804,38.98323575
Gate House,,299,-76.93576433,38.98864785
Geology Building,GEO,237,-76.94090996,38.9881304
Golf Course Clubhouse,GLF,166,-76.95470708,38.99113325
Golf Course Maintenance,,314,-76.95317879,38.9973127
