prereq,course
AASP101,AASP297
AASP202,AASP297
AASP202,AASP400
AASP100,AASP400
AASP202,AASP400H
AASP100,AASP400H
AASP202,AASP402
AASP100,AASP402
HIST255,AASP441
AASP202,AASP441
AASP100,AASP441
ABRM330,ABRM450
CHEM131,AGST275
CHEM132,AGST275
PLSC110,AGST275
PLSC112,AGST275
PLSC113,AGST275
BSCI160,AGST275
BSCI161,AGST275
BSCI170,AGST275
BSCI171,AGST275
CHEM271,AGST311
PLSC112,AGST400
PLSC113,AGST400
BSCI160,AGST400
BSCI161,AGST400
MATH113,AGST400
PLSC112,AGST401
PLSC113,AGST401
MATH113,AGST401
AGST400,AGST401
PLSC201,AGST431
PLSC206,AGST431
MATH240,AMSC420
MATH461,AMSC420
MATH341,AMSC420
MATH241,AMSC420
MATH340,AMSC420
MATH246,AMSC420
MATH341,AMSC420
STAT400,AMSC420
STAT410,AMSC420
CMSC106,AMSC420
CMSC131,AMSC420
MATH240,AMSC460
MATH341,AMSC460
MATH461,AMSC460
MATH241,AMSC460
MATH340,AMSC460
CMSC106,AMSC460
CMSC131,AMSC460
MATH246,AMSC460
MATH240,AMSC466
MATH341,AMSC466
MATH461,AMSC466
MATH241,AMSC466
MATH340,AMSC466
CMSC106,AMSC466
CMSC131,AMSC466
MATH410,AMSC466
AMSC660,AMSC663
CMSC660,AMSC663
AMSC661,AMSC663
CMSC661,AMSC663
MATH673,AMSC674
AMSC673,AMSC674
MATH410,AMSC764
AMST201,AMST450
AMST340,AMST450
AMST655,AMST856
ANTH655,AMST856
HIST610,AMST856
AMST856,AMST857
ANTH856,AMST857
HIST810,AMST857
ANSC101,ANSC103
ANSC101,ANSC115
ANSC103,ANSC115
ANSC204,ANSC210
ANSC205,ANSC210
ANSC211,ANSC212
ANSC204,ANSC212
ANSC205,ANSC212
ANSC212,ANSC214
ANSC232,ANSC237
ANSC101,ANSC245
ANSC103,ANSC245
ANSC101,ANSC247
ANSC103,ANSC247
ANSC101,ANSC282
ANSC103,ANSC282
ANSC314,ANSC315
ANSC101,ANSC327
CHEM131,ANSC327
ANSC103,ANSC327
ANSC232,ANSC330
BSCI223,ANSC340
ANSC220,ANSC340
ANSC232,ANSC340
ANSC242,ANSC340
ANSC250,ANSC340
ANSC255,ANSC340
ANSC260,ANSC340
ANSC262,ANSC340
ANSC220,ANSC359
ANSC232,ANSC359
ANSC242,ANSC359
ANSC250,ANSC359
ANSC255,ANSC359
ANSC260,ANSC359
ANSC262,ANSC359
ANSC212,ANSC435
