professor,avg_gpa,total_grades
A Anthony,2.839568345323741,139
A Kruglanski,3.594954128440367,218
A Seyed,3.927891156462585,294
A Sharma,2.956985294117647,272
A Surjalal Sharma,3.050299401197605,167
A.U. Shankar,2.5753215434083603,1244
Aaron Adalja,2.75,16
Aaron Allen,3.724193548387097,62
Aaron Barker,3.5785714285714287,28
Aaron Bartlett,3.1693877551020404,98
Aaron Brown,3.4346938775510205,49
Aaron Bryant,4.0,20
Aaron Dinin,3.5390243902439025,41
Aaron Doliana,3.3666666666666667,9
Aaron Finkle,2.7686393088552914,4630
Aaron Geller,2.6608888888888886,225
Aaron Hertz,3.697810218978102,137
Aaron Hood,3.860706860706861,481
Aaron Kusne,3.9133333333333336,15
Aaron Kyei-asare,3.440952380952381,105
Aaron Large,,0
Aaron Mannes,3.8118811881188117,101
Aaron Martin,2.9045241809672384,641
Aaron Peisner,3.952,25
Aaron Rappaport,3.225531914893617,47
Aaron Swanlek,3.935333333333333,450
Aaron Tobiason,2.6882352941176473,17
Aaron White,3.716666666666667,6
Aashish Dewan,3.9842105263157896,19
Abani Pradhan,3.5597765363128495,716
Abba Gumel,3.1056603773584905,53
Abbey Hedin,3.9066666666666667,75
Abbey Levenshus,3.647272727272727,55
Abbey Morgan,3.045238095238095,126
Abbie Basile,3.8613888888888894,360
Abbie Bennett,3.1285714285714286,91
Abby Broughton,3.284033613445378,119
Abby Sebol,3.724242424242424,99
Abby Shantzis,3.8718283582089548,536
Abdel-Razak Kadry,3.8447761194029844,67
Abdirisak Mohamed,3.4444302176696535,781
Abhay Grover,3.8913793103448273,58
Abhijit Dasgupta,3.2963051251489874,839
Abhinav Bhatele,3.3966426858513192,417
Abhinav Shrivastava,3.9114049586776862,605
Abigail Bickford,3.963492063492063,63
Abigail Ferretti,3.75679012345679,81
Abigail Helinger,3.256521739130435,23
Abigail Kula,2.4857142857142858,21
Abigail McEwen,3.4570541259982255,1127
Abigail Nicolas,3.701113172541744,2156
Abigail Romirowsky,,0
Abigail Seiler,3.3250000000000006,48
Abigail Shantzis,3.85,60
Abigail Trozenski,3.34125,80
Abigail Upshaw,3.3115942028985503,69
Abigail Vazquez Rosario,3.8054054054054056,37
Abner Salgado Gonzalez,2.8698275862068967,116
Abolhassan Jawahery,3.2771523178807946,302
Abram Fox,3.8233333333333333,30
Abram Kagan,3.155042016806722,238
Abror Pirnapasov,3.64,25
Adam Amorese,3.922680412371134,388
Adam Behrens,3.978723404255319,47
Adam Beissel,2.88512077294686,1035
Adam Binkley,3.201510574018127,331
Adam Brockett,3.23013698630137,73
Adam Diehl,3.8,5
Adam Edgerton,3.605882352941176,17
Adam Factor,3.560135135135136,148
Adam Fishbein,3.105714285714286,35
Adam Fracchia,3.1346153846153846,26
Adam Grise,3.5133333333333336,15
Adam Hsieh,3.3032626427406195,613
Adam Isen,2.9583333333333335,24
Adam Jurkiewicz,3.164130434782609,92
Adam Kanigowski,3.26933962264151,636
Adam Klager,3.9068181818181817,44
Adam Klimas,3.854216867469879,83
Adam Kriesberg,3.919444444444445,144
Adam Liter,3.6285714285714286,7
Adam Lizzi,2.5799999999999996,60
Adam Lloyd,3.7719047619047616,630
Adam Longo,3.306521739130435,46
Adam Marton,3.7779552715654954,313
Adam Neff,2.989583333333334,96
Adam Nelson,3.6222222222222222,18
Adam Nixon,3.6264986376021797,1468
Adam Pellegrini,2.4566666666666666,30
Adam Porter,3.2866028708133976,1254
Adam Ross,2.16,50
Adam Rudolphi,2.522222222222222,9
Adam Sheaffer,3.7733333333333334,105
Adam Shrier,3.8714285714285714,7
Adam Telatovich,2.6902229845626073,583
Adam VanWagner,3.665740740740741,108
Adam Zuckerman,3.8081632653061224,98
Adams Steven,3.5553459119496855,477
Adan Ramos,3.402173913043478,184
Adel Shirmohammadi,3.29375,32
Adelaida Shelley,3.902439024390244,41
Adele Robinson,3.6497816593886467,229
Adelina Fantoni,3.1424657534246574,73
Adi Mahalel,3.014758269720102,393
Adil Hassam,3.2930467762326168,791
Adil Virani,2.425,44
Adina Dabu,3.785350318471338,157
Adina Ferguson,3.7684210526315787,19
Adina Friedman,3.382142857142857,28
Aditi Vijay,3.70507614213198,197
Aditya Desai,2.97012987012987,77
Aditya Ravindra Bhat,3.5435045317220553,331
Adonis De Carvalho Borges,3.576470588235294,34
Adreanna Nattiel,3.8699453551912564,183
Adrian Bitton,3.156521739130435,23
Adrian Romero,2.7384615384615385,13
Adriana Gilberto,4.0,24
Adriane Fang,3.669135802469135,648
Adrianne Bradford,3.062962962962963,81
Adrianne Flynn,3.6865384615384613,832
Adrianos Papamarcou,2.9609095831077425,1847
Adriene Lim,3.7423076923076923,26
Adrienne Childs,3.013793103448276,29
Afrouz Rahmati,2.2460000000000004,50
Agatha Hultquist,3.508571428571429,35
Agisilaos Iliadis,3.3432835820895526,1139
Agnesanne Danehey,3.7581538461538466,325
Agnieszka Legutko,3.4846153846153847,91
Agnieszka Zelerowicz,3.023076923076923,507
Agniv Sengupta,3.4863636363636368,66
Agustin Hurtado,3.833707865168539,89
Aharona Gazit-Rosenthal,3.5813765182186237,247
Aharona Rosenthal,3.735602094240838,191
Ahmad Karimi-Hakkak,3.4465517241379304,174
Ahmad Khan,3.6334101382488475,434
Ahmed Hanafy,3.5236162361623617,271
Ahmet Aydilek,2.7421176470588233,1275
Ahmet Karamustafa,3.289634146341463,328
Ahnlee Jang,2.902127659574468,47
Ahri Lee,,0
Ai Ren,2.6928571428571426,28
Aichiro Prabowo,3.0333333333333337,30
Aida Garcia Revuelta,3.156551724137931,145
Aida Roige Mas,3.3502304147465436,217
Aidan Lyon,3.187573964497042,169
Aileen Hentz,3.89225352112676,142
Aimee Duncan,3.7869565217391306,138
Aisha Washington,3.877272727272727,22
Aishwarya Shukla,3.276767676767677,99
Aitalohi Amaize,3.896629213483146,89
Ajay Mallya,2.9255555555555555,90
Ajmeeta Sangtani,3.8,35
Akarsh Ralhan,3.9148514851485148,101
Akhila Vishnubhotla,3.635294117647059,17
Akilah Watkins-Butler,3.7714285714285714,42
Akua Asa-Awuku,3.549184149184149,429
Akwum Onwunta,3.3017857142857143,56
Ala Creciun,2.9297297297297296,37
Alaa Elgibali,3.503636363636364,165
Alaa Zeitoun,3.6999999999999997,14
Alama Rush,3.6882352941176473,17
Alamea Goldstein,4.0,19
Alan Anderson,3.291869918699187,123
Alan Briggs,3.6388888888888897,162
Alan Dillingham,2.9851239669421488,121
Alan Drew,3.671832884097035,742
Alan Goldenbach,3.0208333333333335,48
Alan Jacobs,3.5425925925925927,108
Alan Kaufman,3.3368669022379263,849
Alan Kelly,3.0999999999999996,9
Alan Lehman,3.249146666666667,3750
Alan Leslie,4.0,18
Alan Miller,3.668,25
Alan Montroso,3.696341463414634,410
Alan Nemeth,3.4297297297297296,74
Alan Neustadtl,3.028743961352657,1242
Alan Peel,3.1795966785290624,4215
Alan Pritchard,3.5355555555555553,90
Alan Siegfried,3.4889273356401382,1445
Alan Sussman,2.826488706365503,487
Alana Ebert-zavos,3.9114285714285715,35
Alana Hackshaw,3.5873831775700933,1070
Alana Murray,3.7596491228070175,57
Alanna Delfino,3.686466165413534,133
Alanna Kopania,3.85,68
Alannah Hensley,3.75531914893617,141
Alavanja Ridge,3.716666666666667,6
Alba Torrents,3.2236686390532547,338
Alba Torrents Capdevila,2.782352941176471,17
Albert Ades,3.393098384728341,681
Albert Calogero,3.4086419753086417,81
Albert Ciafre,3.1056818181818175,88
Albert Crosby,3.4550695825049704,503
Albert Krall,3.9560975609756093,41
Albert Kyle,3.4692792792792795,1110
Albert Rubeling,3.6999999999999997,169
Alberto Belloni,3.11792656587473,463
Alberto Bolatto,3.164628482972136,1292
Alberto Cabrera,3.7690677966101696,236
Alberto Cabrera Casillas,3.93972602739726,73
