stop_id,title
regdrgar_d,Regents Drive Garage
campmath,Campus Dr at Math Slip
paingree,Campus Drive and Diamondback Drive
painrhod,Campus Drive and Rhode Island Avenue (Outbound)
cpmetro_d,College Park - UMD Metro Station
painrhod_in,Campus Drive and Rhode Island Avenue (Inbound)
painglen,Glenn L. Martin Wind Tunnel
stamsu_d,Stamp Student Union - Slip
artsoci,Art/Sociology Building
wico,Wicomico Hall
lotu4,Preinkert Drive at Lot MV
guilrowa,Guilford Drive and Rowalt Drive (Outbound)
hartshop,Baltimore Avenue and Hartwick Road (Inbound)
mont_in,Montgomery Hall (Inbound)
memo_in,Memorial Chapel (Inbound)
mitc_in,Mitchell Building (Inbound)
regestad,Regents Dr and Stadium Dr
regefarm_out,Regents Dr and Farm Dr (Outbound)
regecomc_out,Regents Drive at XFINITY Center (Outbound)
regepain_out,Regents Dr and Paint Branch Dr (Outbound)
shutbase_out,Shuttle-UM Base (Outbound)
lot4_out,Paint Branch Dr at Lot 4b (Outbound)
metzgree,Metzerott Rd and Greenmead Dr
gree_out,Greenmead Dr at Maryland 4-H (Outbound)
cour500,Courtyards #500
greemead_in,Greenmead Dr at Maryland 4-H (Inbound)
greemetz,Greenmeade Dr and Metzerott Rd
lot4_in,Paint Branch Dr at Lot 4b (Inbound)
shutbase_in,Shuttle-UM Base (Inbound)
regepain,Regents Dr and Paint Branch Dr (Inbound)
regecomc_in,Regents Drive at XFINITY Center (Inbound)
regefarm_in,Regents Dr and Farm Dr (Inbound)
regegara_d,Regents Drive Garage
camplt1d,Campus Dr at Lot 3
umuc,UMUC - College Park Marriott
metzgree_out,Metzerott Rd and Greenmead Dr (Outbound)
metz36th,Metzerott Road and 36th Avenue (Outbound)
metzstan_out,Metzerott Road and St. Andrew's Place (Outbound)
metzsa,Metzerott Rd @ System Administration
arch_ob,Metzerott Rd at Archives II (Outbound)
metzadel,Metzerott Rd and Adelphi Rd
coolspri_out,Metzerott Rd and Riggs Rd (Outbound)
metzpres,Metzerott Rd at Presidential Towers
metznham_out,Metzerott Rd and New Hampshire Ave (Outbound)
nhamfox,New Hampshire Ave and Fox St
nhamadel_out,New Hampshire Ave and Adelphi Road (Outbound)
nhamoak_out,New Hampshire Ave and Oakview Dr (Outbound)
chateau_r,Mt Pisgah Rd at Chateau Apartments
nhamadel_in,New Hampshire Ave and Adelphi Rd (Inbound)
metznham_in,Metzerott Rd and New Hampshire Ave (Inbound)
metz1811,Metzerott Rd at The Delano Apts
coolspri_in,Metzerott Rd and Riggs Rd (Inbound)
metz24th,Metzerott Rd and 24th Ave
metzarch,Metzerott Rd at Archives II (Inbound)
metzobse,Metzerott Rd @ UM Observatory
metzstan_in,Metzerott Road and St. Andrew's Place (Inbound)
