stop_id,title,lat,long,stop_title
regdrgar_d,Regents Drive Garage,38.9895211,-76.9407719,Regents Drive Garage
campmath,Campus Dr at Math Slip,38.9878609,-76.9386053,Campus Dr at Math Slip
paingree,Campus Drive and Diamondback Drive,38.9879877,-76.934037,Campus Drive and Diamondback Drive
painrhod,Campus Drive and Rhode Island Avenue (Outbound),38.9836051,-76.9313264,Campus Drive and Rhode Island Avenue (Outbound)
cpmetro_d,College Park - UMD Metro Station,38.9755375,-76.9279988,College Park - UMD Metro Station
painrhod_in,Campus Drive and Rhode Island Avenue (Inbound),38.9835717,-76.930958,Campus Drive and Rhode Island Avenue (Inbound)
painglen,Glenn L. Martin Wind Tunnel,38.9899498,-76.9372499,Glenn L. Martin Wind Tunnel
stamsu_d,Stamp Student Union - Slip,38.9876099,-76.9439449,Stamp Student Union - Slip
artsoci,Art/Sociology Building,38.98529,-76.94677,Art/Sociology Building
wico,Wicomico Hall,38.98375,-76.94516,Wicomico Hall
lotu4,Preinkert Drive at Lot MV,38.9821893,-76.944884,Preinkert Drive at Lot MV
guilrowa,Guilford Drive and Rowalt Drive (Outbound),38.978183,-76.939469,Guilford Drive and Rowalt Drive (Outbound)
hartshop,Baltimore Avenue and Hartwick Road (Inbound),38.97944,-76.93783,Baltimore Avenue and Hartwick Road (Inbound)
mont_in,Montgomery Hall (Inbound),38.9824955,-76.9391275,Montgomery Hall (Inbound)
memo_in,Memorial Chapel (Inbound),38.9845403,-76.94007,Memorial Chapel (Inbound)
mitc_in,Mitchell Building (Inbound),38.9863659,-76.9401199,Mitchell Building (Inbound)
regestad,Regents Dr and Stadium Dr,38.990012,-76.9406498,Regents Dr and Stadium Dr
regefarm_out,Regents Dr and Farm Dr (Outbound),38.9912621,-76.9406599,Regents Dr and Farm Dr (Outbound)
regecomc_out,Regents Drive at XFINITY Center (Outbound),38.9934725,-76.9399271,Regents Drive at XFINITY Center (Outbound)
regepain_out,Regents Dr and Paint Branch Dr (Outbound),38.9936299,-76.9374809,Regents Dr and Paint Branch Dr (Outbound)
shutbase_out,Shuttle-UM Base (Outbound),38.9953477,-76.9374989,Shuttle-UM Base (Outbound)
lot4_out,Paint Branch Dr at Lot 4b (Outbound),38.997895,-76.940414,Paint Branch Dr at Lot 4b (Outbound)
metzgree,Metzerott Rd and Greenmead Dr,39.0009112,-76.9444714,Metzerott Rd and Greenmead Dr
gree_out,Greenmead Dr at Maryland 4-H (Outbound),39.0020477,-76.9434987,Greenmead Dr at Maryland 4-H (Outbound)
cour500,Courtyards #500,39.0030898,-76.94257,Courtyards #500
greemead_in,Greenmead Dr at Maryland 4-H (Inbound),39.0026768,-76.9433279,Greenmead Dr at Maryland 4-H (Inbound)
greemetz,Greenmeade Dr and Metzerott Rd,39.0010682,-76.9446931,Greenmeade Dr and Metzerott Rd
lot4_in,Paint Branch Dr at Lot 4b (Inbound),38.9978287,-76.9404883,Paint Branch Dr at Lot 4b (Inbound)
